Time;Date;BZN|DK1;
00:00 - 01:00;01.01.19;1857;1898
01:00 - 02:00;01.01.19;1819;1838
02:00 - 03:00;01.01.19;1755;1779
03:00 - 04:00;01.01.19;1709;1726
04:00 - 05:00;01.01.19;1685;1710
05:00 - 06:00;01.01.19;1706;1716
06:00 - 07:00;01.01.19;1726;1765
07:00 - 08:00;01.01.19;1777;1820
08:00 - 09:00;01.01.19;1901;1883
09:00 - 10:00;01.01.19;1979;1943
10:00 - 11:00;01.01.19;2062;2043
11:00 - 12:00;01.01.19;2132;2101
12:00 - 13:00;01.01.19;2143;2151
13:00 - 14:00;01.01.19;2133;2174
14:00 - 15:00;01.01.19;2201;2189
15:00 - 16:00;01.01.19;2197;2135
16:00 - 17:00;01.01.19;2341;2414
17:00 - 18:00;01.01.19;2576;2512
18:00 - 19:00;01.01.19;2469;2526
19:00 - 20:00;01.01.19;2367;2412
20:00 - 21:00;01.01.19;2267;2300
21:00 - 22:00;01.01.19;2179;2145
22:00 - 23:00;01.01.19;2054;2012
23:00 - 00:00;01.01.19;1980;1854
00:00 - 01:00;02.01.19;1788;1748
01:00 - 02:00;02.01.19;1716;1694
02:00 - 03:00;02.01.19;1714;1658
03:00 - 04:00;02.01.19;1713;1673
04:00 - 05:00;02.01.19;1806;1739
05:00 - 06:00;02.01.19;1907;1853
06:00 - 07:00;02.01.19;2272;2207
07:00 - 08:00;02.01.19;2641;2533
08:00 - 09:00;02.01.19;2710;2736
09:00 - 10:00;02.01.19;2798;2797
10:00 - 11:00;02.01.19;2827;2763
11:00 - 12:00;02.01.19;2803;2770
12:00 - 13:00;02.01.19;2722;2656
13:00 - 14:00;02.01.19;2639;2665
14:00 - 15:00;02.01.19;2633;2620
15:00 - 16:00;02.01.19;2584;2624
16:00 - 17:00;02.01.19;2763;2764
17:00 - 18:00;02.01.19;3004;3045
18:00 - 19:00;02.01.19;2911;2938
19:00 - 20:00;02.01.19;2712;2731
20:00 - 21:00;02.01.19;2486;2537
21:00 - 22:00;02.01.19;2333;2369
22:00 - 23:00;02.01.19;2164;2200
23:00 - 00:00;02.01.19;2019;2054
00:00 - 01:00;03.01.19;1958;1977
01:00 - 02:00;03.01.19;1908;1910
02:00 - 03:00;03.01.19;1903;1909
03:00 - 04:00;03.01.19;1925;1934
04:00 - 05:00;03.01.19;2013;1987
05:00 - 06:00;03.01.19;2139;2099
06:00 - 07:00;03.01.19;2452;2439
07:00 - 08:00;03.01.19;2864;2858
08:00 - 09:00;03.01.19;3036;3003
09:00 - 10:00;03.01.19;2999;2975
10:00 - 11:00;03.01.19;3005;2985
11:00 - 12:00;03.01.19;2979;2971
12:00 - 13:00;03.01.19;2912;2908
13:00 - 14:00;03.01.19;2890;2923
14:00 - 15:00;03.01.19;2867;2871
15:00 - 16:00;03.01.19;2805;2831
16:00 - 17:00;03.01.19;2935;2964
17:00 - 18:00;03.01.19;3158;3216
18:00 - 19:00;03.01.19;3064;3055
19:00 - 20:00;03.01.19;2856;2844
20:00 - 21:00;03.01.19;2655;2647
21:00 - 22:00;03.01.19;2470;2475
22:00 - 23:00;03.01.19;2280;2303
23:00 - 00:00;03.01.19;2115;2103
00:00 - 01:00;04.01.19;1972;2004
01:00 - 02:00;04.01.19;1929;1950
02:00 - 03:00;04.01.19;1896;1901
03:00 - 04:00;04.01.19;1905;1940
04:00 - 05:00;04.01.19;1980;1992
05:00 - 06:00;04.01.19;2140;2156
06:00 - 07:00;04.01.19;2533;2459
07:00 - 08:00;04.01.19;2884;2868
08:00 - 09:00;04.01.19;3007;3018
09:00 - 10:00;04.01.19;2974;3002
10:00 - 11:00;04.01.19;3034;3049
11:00 - 12:00;04.01.19;3009;2994
12:00 - 13:00;04.01.19;2859;2849
13:00 - 14:00;04.01.19;2774;2829
14:00 - 15:00;04.01.19;2757;2736
15:00 - 16:00;04.01.19;2673;2692
16:00 - 17:00;04.01.19;2821;2824
17:00 - 18:00;04.01.19;3006;3001
18:00 - 19:00;04.01.19;2876;2871
19:00 - 20:00;04.01.19;2625;2635
20:00 - 21:00;04.01.19;2447;2466
21:00 - 22:00;04.01.19;2290;2283
22:00 - 23:00;04.01.19;2110;2174
23:00 - 00:00;04.01.19;1970;2032
00:00 - 01:00;05.01.19;1912;1935
01:00 - 02:00;05.01.19;1792;1816
02:00 - 03:00;05.01.19;1749;1789
03:00 - 04:00;05.01.19;1773;1858
04:00 - 05:00;05.01.19;1830;1808
05:00 - 06:00;05.01.19;1870;1821
06:00 - 07:00;05.01.19;1944;1904
07:00 - 08:00;05.01.19;2094;2072
08:00 - 09:00;05.01.19;2275;2240
09:00 - 10:00;05.01.19;2363;2307
10:00 - 11:00;05.01.19;2396;2339
11:00 - 12:00;05.01.19;2336;2299
12:00 - 13:00;05.01.19;2251;2236
13:00 - 14:00;05.01.19;2251;2218
14:00 - 15:00;05.01.19;2229;2235
15:00 - 16:00;05.01.19;2257;2269
16:00 - 17:00;05.01.19;2450;2452
17:00 - 18:00;05.01.19;2711;2729
18:00 - 19:00;05.01.19;2643;2649
19:00 - 20:00;05.01.19;2428;2447
20:00 - 21:00;05.01.19;2293;2293
21:00 - 22:00;05.01.19;2185;2165
22:00 - 23:00;05.01.19;2092;2006
23:00 - 00:00;05.01.19;1979;1898
00:00 - 01:00;06.01.19;1767;1823
01:00 - 02:00;06.01.19;1717;1766
02:00 - 03:00;06.01.19;1723;1741
03:00 - 04:00;06.01.19;1718;1729
04:00 - 05:00;06.01.19;1739;1747
05:00 - 06:00;06.01.19;1772;1765
06:00 - 07:00;06.01.19;1862;1814
07:00 - 08:00;06.01.19;1979;1961
08:00 - 09:00;06.01.19;2138;2136
09:00 - 10:00;06.01.19;2228;2264
10:00 - 11:00;06.01.19;2354;2343
11:00 - 12:00;06.01.19;2355;2366
12:00 - 13:00;06.01.19;2310;2337
13:00 - 14:00;06.01.19;2309;2320
14:00 - 15:00;06.01.19;2319;2316
15:00 - 16:00;06.01.19;2348;2347
16:00 - 17:00;06.01.19;2531;2520
17:00 - 18:00;06.01.19;2768;2780
18:00 - 19:00;06.01.19;2702;2710
19:00 - 20:00;06.01.19;2522;2496
20:00 - 21:00;06.01.19;2305;2289
21:00 - 22:00;06.01.19;2165;2201
22:00 - 23:00;06.01.19;2081;2053
23:00 - 00:00;06.01.19;1984;1888
00:00 - 01:00;07.01.19;1822;1826
01:00 - 02:00;07.01.19;1779;1813
02:00 - 03:00;07.01.19;1799;1789
03:00 - 04:00;07.01.19;1818;1810
04:00 - 05:00;07.01.19;1868;1850
05:00 - 06:00;07.01.19;2014;2005
06:00 - 07:00;07.01.19;2388;2364
07:00 - 08:00;07.01.19;2874;2861
08:00 - 09:00;07.01.19;3017;3014
09:00 - 10:00;07.01.19;2998;2979
10:00 - 11:00;07.01.19;3036;2999
11:00 - 12:00;07.01.19;2969;2973
12:00 - 13:00;07.01.19;2889;2929
13:00 - 14:00;07.01.19;2922;2968
14:00 - 15:00;07.01.19;2892;2926
15:00 - 16:00;07.01.19;2872;2847
16:00 - 17:00;07.01.19;2972;2944
17:00 - 18:00;07.01.19;3129;3140
18:00 - 19:00;07.01.19;3018;3004
19:00 - 20:00;07.01.19;2828;2796
20:00 - 21:00;07.01.19;2608;2626
21:00 - 22:00;07.01.19;2455;2510
22:00 - 23:00;07.01.19;2323;2331
23:00 - 00:00;07.01.19;2185;2097
00:00 - 01:00;08.01.19;2062;2107
01:00 - 02:00;08.01.19;2031;2058
02:00 - 03:00;08.01.19;1937;1922
03:00 - 04:00;08.01.19;1943;1949
04:00 - 05:00;08.01.19;2016;1996
05:00 - 06:00;08.01.19;2142;2140
06:00 - 07:00;08.01.19;2509;2477
07:00 - 08:00;08.01.19;2876;2869
08:00 - 09:00;08.01.19;3028;3009
09:00 - 10:00;08.01.19;3004;2990
10:00 - 11:00;08.01.19;3022;3009
11:00 - 12:00;08.01.19;2989;2973
