Time;Date;Day-ahead Total Load Forecast (MV);Total Load (MV)
00:00 - 00:30;01.01.18;29580;N/A
00:30 - 01:00;01.01.18;29706;N/A
01:00 - 01:30;01.01.18;29670;N/A
01:30 - 02:00;01.01.18;29857;N/A
02:00 - 02:30;01.01.18;29094;N/A
02:30 - 03:00;01.01.18;27971;N/A
03:00 - 03:30;01.01.18;27215;N/A
03:30 - 04:00;01.01.18;26371;N/A
04:00 - 04:30;01.01.18;25266;N/A
04:30 - 05:00;01.01.18;24409;N/A
05:00 - 05:30;01.01.18;23813;N/A
05:30 - 06:00;01.01.18;23412;N/A
06:00 - 06:30;01.01.18;23078;N/A
06:30 - 07:00;01.01.18;23075;N/A
07:00 - 07:30;01.01.18;23316;N/A
07:30 - 08:00;01.01.18;23550;N/A
08:00 - 08:30;01.01.18;23751;N/A
08:30 - 09:00;01.01.18;24232;N/A
09:00 - 09:30;01.01.18;25196;N/A
09:30 - 10:00;01.01.18;26445;N/A
10:00 - 10:30;01.01.18;28015;N/A
10:30 - 11:00;01.01.18;29695;N/A
11:00 - 11:30;01.01.18;31419;N/A
11:30 - 12:00;01.01.18;32846;N/A
12:00 - 12:30;01.01.18;33957;N/A
12:30 - 13:00;01.01.18;34953;N/A
13:00 - 13:30;01.01.18;35543;N/A
13:30 - 14:00;01.01.18;35776;N/A
14:00 - 14:30;01.01.18;35652;N/A
14:30 - 15:00;01.01.18;35673;N/A
15:00 - 15:30;01.01.18;35670;N/A
15:30 - 16:00;01.01.18;35760;N/A
16:00 - 16:30;01.01.18;36115;N/A
16:30 - 17:00;01.01.18;37097;N/A
17:00 - 17:30;01.01.18;38673;N/A
17:30 - 18:00;01.01.18;39737;N/A
18:00 - 18:30;01.01.18;39997;N/A
18:30 - 19:00;01.01.18;39569;N/A
19:00 - 19:30;01.01.18;38736;N/A
19:30 - 20:00;01.01.18;37764;N/A
20:00 - 20:30;01.01.18;36683;N/A
20:30 - 21:00;01.01.18;35897;N/A
21:00 - 21:30;01.01.18;35196;N/A
21:30 - 22:00;01.01.18;34038;N/A
22:00 - 22:30;01.01.18;32687;N/A
22:30 - 23:00;01.01.18;31359;N/A
23:00 - 23:30;01.01.18;30416;N/A
23:30 - 00:00;01.01.18;29151;N/A
00:00 - 00:30;02.01.18;27707;N/A
00:30 - 01:00;02.01.18;26961;N/A
01:00 - 01:30;02.01.18;27613;N/A
01:30 - 02:00;02.01.18;27607;N/A
02:00 - 02:30;02.01.18;26944;N/A
02:30 - 03:00;02.01.18;26258;N/A
03:00 - 03:30;02.01.18;26002;N/A
03:30 - 04:00;02.01.18;25686;N/A
04:00 - 04:30;02.01.18;25164;N/A
04:30 - 05:00;02.01.18;24723;N/A
05:00 - 05:30;02.01.18;24600;N/A
05:30 - 06:00;02.01.18;24939;N/A
06:00 - 06:30;02.01.18;25726;N/A
06:30 - 07:00;02.01.18;27769;N/A
07:00 - 07:30;02.01.18;30695;N/A
07:30 - 08:00;02.01.18;33752;N/A
08:00 - 08:30;02.01.18;36535;N/A
08:30 - 09:00;02.01.18;38403;N/A
09:00 - 09:30;02.01.18;39805;N/A
09:30 - 10:00;02.01.18;41379;N/A
10:00 - 10:30;02.01.18;42896;N/A
10:30 - 11:00;02.01.18;43408;N/A
11:00 - 11:30;02.01.18;43546;N/A
11:30 - 12:00;02.01.18;43709;N/A
12:00 - 12:30;02.01.18;43983;N/A
12:30 - 13:00;02.01.18;44480;N/A
13:00 - 13:30;02.01.18;44681;N/A
13:30 - 14:00;02.01.18;44615;N/A
14:00 - 14:30;02.01.18;44634;N/A
14:30 - 15:00;02.01.18;44844;N/A
15:00 - 15:30;02.01.18;44944;N/A
15:30 - 16:00;02.01.18;45165;N/A
16:00 - 16:30;02.01.18;45661;N/A
16:30 - 17:00;02.01.18;46500;N/A
17:00 - 17:30;02.01.18;48174;N/A
17:30 - 18:00;02.01.18;49508;N/A
18:00 - 18:30;02.01.18;49548;N/A
18:30 - 19:00;02.01.18;49021;N/A
19:00 - 19:30;02.01.18;48387;N/A
19:30 - 20:00;02.01.18;47644;N/A
20:00 - 20:30;02.01.18;46532;N/A
20:30 - 21:00;02.01.18;44988;N/A
21:00 - 21:30;02.01.18;43106;N/A
21:30 - 22:00;02.01.18;41214;N/A
22:00 - 22:30;02.01.18;39230;N/A
22:30 - 23:00;02.01.18;37140;N/A
23:00 - 23:30;02.01.18;35200;N/A
23:30 - 00:00;02.01.18;33134;N/A
00:00 - 00:30;03.01.18;31487;N/A
00:30 - 01:00;03.01.18;29844;N/A
01:00 - 01:30;03.01.18;29069;N/A
01:30 - 02:00;03.01.18;29080;N/A
02:00 - 02:30;03.01.18;28748;N/A
02:30 - 03:00;03.01.18;28237;N/A
03:00 - 03:30;03.01.18;28251;N/A
03:30 - 04:00;03.01.18;28163;N/A
04:00 - 04:30;03.01.18;27434;N/A
04:30 - 05:00;03.01.18;26798;N/A
05:00 - 05:30;03.01.18;26594;N/A
05:30 - 06:00;03.01.18;27153;N/A
06:00 - 06:30;03.01.18;28085;N/A
